p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",2,2,"100,0",0,2,"0,0",2,4,"50,0",1627,27:07,,0,0,0,2,5,7,2,0,1,,1,10,0,7,2,4,1,0,1715117,00,E. VICEDO AYALA,https://imagenes.feb.es/foto.aspx?c=1715117,HESTIA MENORCA
0,0,"0,0",2,3,"66,7",1,4,"25,0",3,7,"42,9",751,12:31,,0,0,0,0,0,0,1,0,1,,8,3,1,0,3,7,0,0,2785180,1,J. CONE,https://imagenes.feb.es/foto.aspx?c=2785180,HESTIA MENORCA
0,0,"0,0",1,1,"100,0",1,1,"100,0",2,2,"100,0",773,12:53,,2,0,0,2,1,3,0,1,1,,7,8,0,3,2,5,0,0,2820270,3,N. GALETTE,https://imagenes.feb.es/foto.aspx?c=2820270,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",1106,18:26,,1,0,0,1,1,2,0,3,0,,-3,0,2,2,2,0,1,0,2662856,8,F. SCHOTT,https://imagenes.feb.es/foto.aspx?c=2662856,HESTIA MENORCA
6,10,"60,0",3,8,"37,5",1,1,"100,0",4,9,"44,4",1647,27:27,,1,0,0,2,11,13,7,1,2,,10,29,5,13,4,15,1,0,2446720,10,F. ZURBRIGGEN,https://imagenes.feb.es/foto.aspx?c=2446720,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2650859,11,S. LITTLESON,https://imagenes.feb.es/foto.aspx?c=2650859,HESTIA MENORCA
5,7,"71,4",2,2,"100,0",4,7,"57,1",6,9,"66,7",1064,17:44,,0,0,0,0,0,0,4,2,1,,1,16,0,0,3,21,0,0,1938697,13,J. LOBO MARTORELL,https://imagenes.feb.es/foto.aspx?c=1938697,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",309,05:09,,0,0,0,0,1,1,1,1,0,,1,0,1,1,2,0,0,0,1784407,15,P. MOLINS CALDERON,https://imagenes.feb.es/foto.aspx?c=1784407,HESTIA MENORCA
8,8,"100,0",4,6,"66,7",2,8,"25,0",6,14,"42,9",1590,26:30,,0,0,0,0,2,2,5,3,0,,1,19,1,2,0,22,1,0,2325133,21,T. MCFADDEN,https://imagenes.feb.es/foto.aspx?c=2325133,HESTIA MENORCA
4,6,"66,7",1,5,"20,0",0,0,"0,0",1,5,"20,0",1038,17:18,,0,0,0,2,1,3,4,1,0,,8,6,3,3,3,6,0,0,2702840,23,E. WEMBI,https://imagenes.feb.es/foto.aspx?c=2702840,HESTIA MENORCA
1,1,"100,0",1,2,"50,0",2,4,"50,0",3,6,"50,0",1839,30:39,,0,0,0,0,3,3,1,0,0,,3,7,0,3,3,9,1,1,1875914,55,A. SOLA IDDRISU,https://imagenes.feb.es/foto.aspx?c=1875914,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",256,04:16,,0,0,0,0,0,0,0,0,0,,3,0,1,0,1,0,0,0,1382456,77,V. ARTEAGA GONZALEZ,https://imagenes.feb.es/foto.aspx?c=1382456,HESTIA MENORCA
9,9,"100,0",1,2,"50,0",0,6,"0,0",1,8,"12,5",1386,23:06,,0,1,0,0,1,1,4,2,1,,-12,7,2,1,3,11,0,0,2334516,2,J. POWELL,https://imagenes.feb.es/foto.aspx?c=2334516,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1899194,6,C. TABOADA HEISKANEN,https://imagenes.feb.es/foto.aspx?c=1899194,GRUPO ALEGA CANTABRIA
6,7,"85,7",1,4,"25,0",2,3,"66,7",3,7,"42,9",1414,23:34,,0,0,0,0,5,5,4,1,1,,-4,16,0,5,2,14,1,0,841966,8,S. RODRÍGUEZ RAMOS,https://imagenes.feb.es/foto.aspx?c=841966,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,1,"0,0",0,2,"0,0",0,3,"0,0",898,14:58,,0,0,0,0,1,1,1,1,0,,-4,-2,2,1,2,0,0,0,2481151,9,B. LUGARINI,https://imagenes.feb.es/foto.aspx?c=2481151,GRUPO ALEGA CANTABRIA
6,7,"85,7",1,1,"100,0",0,4,"0,0",1,5,"20,0",1684,28:04,,0,0,0,2,3,5,4,1,2,,-9,17,8,5,4,8,1,1,1821694,10,G. MARTINEZ DIAZ,https://imagenes.feb.es/foto.aspx?c=1821694,GRUPO ALEGA CANTABRIA
6,7,"85,7",3,5,"60,0",1,3,"33,3",4,8,"50,0",1490,24:50,,0,0,1,0,2,2,5,2,0,,-2,13,2,2,4,15,1,0,2815820,11,J. YU,https://imagenes.feb.es/foto.aspx?c=2815820,GRUPO ALEGA CANTABRIA
0,0,"0,0",2,4,"50,0",0,1,"0,0",2,5,"40,0",1461,24:21,,0,1,0,2,3,5,0,0,1,,2,7,0,5,0,4,1,0,1676845,12,D. ALDERETE DIAZ,https://imagenes.feb.es/foto.aspx?c=1676845,GRUPO ALEGA CANTABRIA
2,2,"100,0",1,3,"33,3",1,3,"33,3",2,6,"33,3",844,14:04,,0,1,0,1,1,2,4,1,0,,-1,7,2,2,3,7,0,0,1442713,15,P. HERNANDEZ MONTENEGRO,https://imagenes.feb.es/foto.aspx?c=1442713,GRUPO ALEGA CANTABRIA
2,3,"66,7",3,8,"37,5",4,6,"66,7",7,14,"50,0",1913,31:53,,0,1,0,0,2,2,2,3,1,,-4,13,3,2,4,20,1,0,2274998,32,R. JOHNSON JR,https://imagenes.feb.es/foto.aspx?c=2274998,GRUPO ALEGA CANTABRIA
0,0,"0,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",910,15:10,,0,0,0,2,0,2,1,1,0,,-6,1,0,2,3,2,0,0,2446696,34,G. KANDE KIELI,https://imagenes.feb.es/foto.aspx?c=2446696,GRUPO ALEGA CANTABRIA
