p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",0,0,"0,0",1,3,"33,3",1,3,"33,3",428,07:08,,0,0,0,0,1,1,0,0,0,,-11,1,0,1,1,3,0,0,1878729,0,J. GODSPOWER JOHNSON,https://imagenes.feb.es/foto.aspx?c=1878729,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",3,6,"50,0",2,4,"50,0",5,10,"50,0",1438,23:58,,2,0,1,0,5,5,0,7,0,,-11,5,1,5,3,12,1,0,2451278,1,D. POIRIER,https://imagenes.feb.es/foto.aspx?c=2451278,MELILLA CIUDAD DEL DEPORTE
2,2,"100,0",0,1,"0,0",0,0,"0,0",0,1,"0,0",841,14:01,,0,0,0,0,0,0,2,3,0,,-26,-1,1,0,2,2,0,0,2814862,4,S. PENO,https://imagenes.feb.es/foto.aspx?c=2814862,MELILLA CIUDAD DEL DEPORTE
4,4,"100,0",2,6,"33,3",0,3,"0,0",2,9,"22,2",1765,29:25,,0,0,0,0,3,3,4,5,0,,-21,3,1,3,1,8,1,0,2819191,5,M. HERON,https://imagenes.feb.es/foto.aspx?c=2819191,MELILLA CIUDAD DEL DEPORTE
1,1,"100,0",2,2,"100,0",0,1,"0,0",2,3,"66,7",989,16:29,,0,0,0,0,4,4,4,0,2,,-13,13,1,4,2,5,1,0,1677841,7,P. CORDOBA MURO,https://imagenes.feb.es/foto.aspx?c=1677841,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",0,0,"0,0",0,1,"0,0",0,1,"0,0",897,14:57,,0,0,0,0,3,3,0,0,0,,-4,5,3,3,0,0,0,0,2734873,12,P. KRUTOUS,https://imagenes.feb.es/foto.aspx?c=2734873,MELILLA CIUDAD DEL DEPORTE
3,4,"75,0",3,4,"75,0",0,1,"0,0",3,5,"60,0",962,16:02,,0,0,1,2,4,6,3,2,1,,-19,12,0,6,2,9,0,0,2647156,21,L. DEBAUT,https://imagenes.feb.es/foto.aspx?c=2647156,MELILLA CIUDAD DEL DEPORTE
4,4,"100,0",1,2,"50,0",0,1,"0,0",1,3,"33,3",1359,22:39,,0,0,0,0,2,2,6,0,0,,2,11,1,2,2,6,1,1,1251001,22,C. DIAZ RODRIGUEZ,https://imagenes.feb.es/foto.aspx?c=1251001,MELILLA CIUDAD DEL DEPORTE
1,2,"50,0",2,2,"100,0",1,3,"33,3",3,5,"60,0",1488,24:48,,1,0,0,1,4,5,1,0,2,,-3,13,2,5,3,8,1,0,2739848,23,R. STUMBRIS,https://imagenes.feb.es/foto.aspx?c=2739848,MELILLA CIUDAD DEL DEPORTE
1,2,"50,0",0,2,"0,0",2,4,"50,0",2,6,"33,3",756,12:36,,0,0,0,0,1,1,1,3,0,,-15,-1,0,1,2,7,0,0,2734242,33,M. STILMA,https://imagenes.feb.es/foto.aspx?c=2734242,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",1,1,"100,0",1,5,"20,0",2,6,"33,3",1077,17:57,,0,0,0,0,1,1,1,2,0,,-29,2,3,1,2,5,0,0,1978541,44,J. GARCIA SANCHEZ,https://imagenes.feb.es/foto.aspx?c=1978541,MELILLA CIUDAD DEL DEPORTE
0,0,"0,0",2,3,"66,7",2,6,"33,3",4,9,"44,4",1522,25:22,,0,1,0,0,7,7,0,1,1,,21,12,1,7,1,10,1,0,1715117,00,E. VICEDO AYALA,https://imagenes.feb.es/foto.aspx?c=1715117,HESTIA MENORCA
0,0,"0,0",1,1,"100,0",1,4,"25,0",2,5,"40,0",766,12:46,,0,0,0,0,1,1,1,2,0,,10,-1,1,1,4,5,0,0,2785180,1,J. CONE,https://imagenes.feb.es/foto.aspx?c=2785180,HESTIA MENORCA
2,5,"40,0",5,5,"100,0",1,3,"33,3",6,8,"75,0",894,14:54,,0,0,1,0,3,3,3,1,3,,11,16,1,3,3,15,0,0,2820270,3,N. GALETTE,https://imagenes.feb.es/foto.aspx?c=2820270,HESTIA MENORCA
3,3,"100,0",6,8,"75,0",1,3,"33,3",7,11,"63,6",1829,30:29,,0,0,0,1,6,7,5,0,1,,19,28,3,7,2,18,1,0,2446720,10,F. ZURBRIGGEN,https://imagenes.feb.es/foto.aspx?c=2446720,HESTIA MENORCA
2,2,"100,0",4,7,"57,1",0,3,"0,0",4,10,"40,0",1364,22:44,,0,0,0,2,1,3,3,2,2,,22,13,7,3,4,10,0,0,2650859,11,S. LITTLESON,https://imagenes.feb.es/foto.aspx?c=2650859,HESTIA MENORCA
0,1,"0,0",2,3,"66,7",2,4,"50,0",4,7,"57,1",407,06:47,,0,0,0,0,0,0,1,0,1,,2,6,0,0,2,10,0,0,1938697,13,J. LOBO MARTORELL,https://imagenes.feb.es/foto.aspx?c=1938697,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",0,00:00,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1784407,15,P. MOLINS CALDERON,https://imagenes.feb.es/foto.aspx?c=1784407,HESTIA MENORCA
0,0,"0,0",3,5,"60,0",0,5,"0,0",3,10,"30,0",826,13:46,,0,0,0,0,3,3,0,0,1,,4,0,1,3,4,6,1,0,2325133,21,T. MCFADDEN,https://imagenes.feb.es/foto.aspx?c=2325133,HESTIA MENORCA
1,2,"50,0",2,2,"100,0",0,0,"0,0",2,2,"100,0",1137,18:57,,0,0,2,2,1,3,3,0,0,,10,11,2,3,1,5,1,0,2702840,23,E. WEMBI,https://imagenes.feb.es/foto.aspx?c=2702840,HESTIA MENORCA
0,0,"0,0",0,0,"0,0",0,0,"0,0",0,0,"0,0",113,01:53,,0,0,0,0,0,0,1,0,0,,5,1,1,0,1,0,0,0,1535344,33,I. ROSA POMPIDO,https://imagenes.feb.es/foto.aspx?c=1535344,HESTIA MENORCA
3,3,"100,0",1,3,"33,3",1,4,"25,0",2,7,"28,6",1992,33:12,,0,2,0,1,2,3,2,0,3,,31,11,0,3,0,8,1,1,1875914,55,A. SOLA IDDRISU,https://imagenes.feb.es/foto.aspx?c=1875914,HESTIA MENORCA
2,2,"100,0",3,5,"60,0",0,0,"0,0",3,5,"60,0",1150,19:10,,0,0,0,3,4,7,1,1,0,,15,13,0,7,0,8,0,0,1382456,77,V. ARTEAGA GONZALEZ,https://imagenes.feb.es/foto.aspx?c=1382456,HESTIA MENORCA
