p1m,p1a,p1p,p2m,p2a,p2p,p3m,p3a,p3p,fgm,fga,fgp,min,minFormatted,sta,bs,tc,mt,ro,rd,rt,rf,to,st,ind,pllss,val,assist,reb,pf,pts,inn,captain,id,no,name,logo,team_name
0,0,"0,0",0,2,"0,0",0,2,"0,0",0,4,"0,0",1414,23:34,,0,0,0,0,0,0,0,1,0,,-34,-5,4,0,4,0,0,0,2334516,2,J. POWELL,https://imagenes.feb.es/foto.aspx?c=2334516,GRUPO ALEGA CANTABRIA
0,0,"0,0",0,1,"0,0",0,0,"0,0",0,1,"0,0",322,05:22,,0,0,0,3,1,4,0,1,0,,-7,1,0,4,1,0,0,0,1899194,6,C. TABOADA HEISKANEN,https://imagenes.feb.es/foto.aspx?c=1899194,GRUPO ALEGA CANTABRIA
4,6,"66,7",1,1,"100,0",1,5,"20,0",2,6,"33,3",1176,19:36,,0,0,0,0,2,2,9,0,1,,-31,12,0,2,3,9,0,0,841966,8,S. RODRÍGUEZ RAMOS,https://imagenes.feb.es/foto.aspx?c=841966,GRUPO ALEGA CANTABRIA
0,0,"0,0",1,1,"100,0",1,5,"20,0",2,6,"33,3",1447,24:07,,0,0,0,2,3,5,0,4,0,,-22,1,0,5,1,5,1,0,2481151,9,B. LUGARINI,https://imagenes.feb.es/foto.aspx?c=2481151,GRUPO ALEGA CANTABRIA
1,2,"50,0",1,2,"50,0",1,4,"25,0",2,6,"33,3",1010,16:50,,0,0,0,0,2,2,4,2,2,,-18,5,1,2,3,6,1,1,1821694,10,G. MARTINEZ DIAZ,https://imagenes.feb.es/foto.aspx?c=1821694,GRUPO ALEGA CANTABRIA
0,4,"0,0",1,2,"50,0",0,0,"0,0",1,2,"50,0",781,13:01,,0,0,0,1,1,2,3,0,0,,-12,3,1,2,0,2,1,0,2815820,11,J. YU,https://imagenes.feb.es/foto.aspx?c=2815820,GRUPO ALEGA CANTABRIA
1,2,"50,0",0,2,"0,0",0,2,"0,0",0,4,"0,0",983,16:23,,0,0,0,0,2,2,1,2,0,,-18,-5,0,2,2,1,0,0,1442713,15,P. HERNANDEZ MONTENEGRO,https://imagenes.feb.es/foto.aspx?c=1442713,GRUPO ALEGA CANTABRIA
1,3,"33,3",3,8,"37,5",3,4,"75,0",6,12,"50,0",1927,32:07,,0,0,0,1,2,3,3,3,0,,-44,7,0,3,4,16,1,0,2820629,24,J. PEREZ PEREZ,https://imagenes.feb.es/foto.aspx?c=2820629,GRUPO ALEGA CANTABRIA
1,1,"100,0",3,6,"50,0",2,4,"50,0",5,10,"50,0",1643,27:23,,0,0,0,0,2,2,1,3,0,,-29,8,1,2,1,13,1,0,2274998,32,R. JOHNSON JR,https://imagenes.feb.es/foto.aspx?c=2274998,GRUPO ALEGA CANTABRIA
2,2,"100,0",2,6,"33,3",0,0,"0,0",2,6,"33,3",1297,21:37,,0,1,2,2,2,4,1,2,0,,-30,4,0,4,1,6,0,0,2446696,34,G. KANDE KIELI,https://imagenes.feb.es/foto.aspx?c=2446696,GRUPO ALEGA CANTABRIA
3,3,"100,0",5,7,"71,4",3,4,"75,0",8,11,"72,7",1060,17:40,,0,0,0,2,4,6,1,0,2,,10,28,4,6,4,22,0,0,2276415,2,A. WINTERING,https://imagenes.feb.es/foto.aspx?c=2276415,SÚPER AGROPAL PALENCIA
2,2,"100,0",5,10,"50,0",3,6,"50,0",8,16,"50,0",1331,22:11,,0,0,0,3,1,4,3,0,1,,34,21,2,4,2,21,0,0,2734949,5,A. KUNKEL,https://imagenes.feb.es/foto.aspx?c=2734949,SÚPER AGROPAL PALENCIA
7,7,"100,0",1,2,"50,0",1,3,"33,3",2,5,"40,0",1267,21:07,,0,0,0,0,3,3,3,1,1,,26,12,1,3,4,12,1,0,2092465,6,T. BORG,https://imagenes.feb.es/foto.aspx?c=2092465,SÚPER AGROPAL PALENCIA
0,0,"0,0",1,1,"100,0",0,0,"0,0",1,1,"100,0",782,13:02,,0,0,0,0,0,0,1,1,0,,20,3,2,0,1,2,1,0,1750421,7,X. OROZ URIA,https://imagenes.feb.es/foto.aspx?c=1750421,SÚPER AGROPAL PALENCIA
2,2,"100,0",1,2,"50,0",2,6,"33,3",3,8,"37,5",1500,25:00,,0,0,0,0,4,4,2,2,0,,41,14,7,4,2,10,1,0,2533871,8,I. JAKOVICS,https://imagenes.feb.es/foto.aspx?c=2533871,SÚPER AGROPAL PALENCIA
2,2,"100,0",1,2,"50,0",0,0,"0,0",1,2,"50,0",1231,20:31,,1,0,0,1,3,4,1,0,0,,23,9,0,4,0,4,0,0,2734950,9,M. KAMBA,https://imagenes.feb.es/foto.aspx?c=2734950,SÚPER AGROPAL PALENCIA
